id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4635226049348101,KeMocDdRP,1304204260,大雾社-迪迪,栖霞寺,,,,,0,0,1,2021-05-10 08:44,iPhone客户端,"['http://ww4.sinaimg.cn/large/4dbc93e4gy1gqd1g956thj23402c0h3t.jpg', 'http://ww4.sinaimg.cn/large/4dbc93e4gy1gqd1gbxol5j23402c0qv5.jpg', 'http://ww2.sinaimg.cn/large/4dbc93e4gy1gqd1g7i4usj22k81x67l1.jpg', 'http://ww2.sinaimg.cn/large/4dbc93e4gy1gqd1gg8yqfj23402c0hdw.jpg', 'http://ww3.sinaimg.cn/large/4dbc93e4gy1gqd1gjho8wj23402c07wh.jpg', 'http://ww3.sinaimg.cn/large/4dbc93e4gy1gqd1gl2cowj23402c0dyn.jpg', 'http://ww4.sinaimg.cn/large/4dbc93e4gy1gqd1gpnbw2j23402c0x6q.jpg', 'http://ww1.sinaimg.cn/large/4dbc93e4gy1gqd1gsxf1jj22h32c0kjm.jpg', 'http://ww1.sinaimg.cn/large/4dbc93e4gy1gqd1gw85pnj23402c01kz.jpg']",,
4634970486474876,KeFK0rapu,1750359554,台州交通广播,#追着阳光去台州神山秀水心归处#【2021长三角融媒记者走进天台国清寺采风】今天（5月9日）长三角融媒记者走进佛教“天台宗”发祥地国清寺，国清寺位于浙江天台城北3公里的地方，和济南灵岩寺、镇江栖霞寺、江陵玉泉寺并称“天下四绝”！一起来感受一下千年古韵吧～记者：路小北L台州交通广播的微博视频,,台州·玉环,,追着阳光去台州 神山秀水心归处,0,0,1,2021-05-09 15:49,iPhone客户端,,"http://f.video.weibocdn.com/000azBkkgx07Mwx8BxJl010412008quh0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1620928975&ssig=l2M5UchA8o&KID=unistore,video",
4634963532582620,KeFyNaPRa,2185792903,南丘居民,四大古刹：济南灵岩寺、当阳玉泉寺、南京栖霞寺、天台国清寺。今日集齐……,,济南·袈裟泉,,,0,3,13,2021-05-09 15:21,iPhone 12 Pro,"['http://ww2.sinaimg.cn/large/82488d87ly1gqc7au3pmcj244g2qykjn.jpg', 'http://ww4.sinaimg.cn/large/82488d87ly1gqc7awb02ej22tc480kjp.jpg', 'http://ww2.sinaimg.cn/large/82488d87ly1gqc7ayvsn4j22qk43unph.jpg', 'http://ww3.sinaimg.cn/large/82488d87ly1gqc7b14b97j22tc480b2c.jpg', 'http://ww3.sinaimg.cn/large/82488d87ly1gqc7birdzbj22c0340hdu.jpg', 'http://ww2.sinaimg.cn/large/82488d87ly1gqc7b417v7j22tc4807wl.jpg', 'http://ww3.sinaimg.cn/large/82488d87ly1gqc7b8ihyzj22tc480npj.jpg', 'http://ww3.sinaimg.cn/large/82488d87ly1gqc7bbz5jbj22tc480b2b.jpg', 'http://ww4.sinaimg.cn/large/82488d87ly1gqc7bgccqgj22tc480npi.jpg']",,
4634950965660569,KeFewnKzv,2141285611,zyk决定自我封闭,方大同《LoveSong》KLoveSong@QQ音乐带个小屁孩儿顶个大太阳去栖霞寺祈福…这么虔诚一定会灵了,,,QQ音乐,,0,0,0,2021-05-09 14:31,QQ音乐,['http://ww1.sinaimg.cn/large/7fa16cebly1gqc5u7qe69j20dw0dwgmq.jpg'],,
4634915385121545,KeEj8lulz,2667565063,玄门风水师夙兮穆婵,13年，游历南京栖霞寺，见廊道题句。深以为然，留影。玄门风水师夙兮穆婵,,,,,2,0,28,2021-05-09 12:10,玄门风水师夙兮穆婵超话,['http://ww2.sinaimg.cn/large/9effd007gy1gqc1shrykzj20hs0nota7.jpg'],,
4634837333312569,KeChfdTKx,2216688321,山友之家旅行,【四大古镇】景德镇佛山镇汉口镇朱仙镇【四大名桥】广济桥赵州桥洛阳桥卢沟桥【四大名园】颐和园避暑山庄拙政园留园【四大名刹】灵岩寺国清寺玉泉寺栖霞寺【四大名楼】岳阳楼黄鹤楼滕王阁大观楼【四大名亭】醉翁亭陶然亭爱晚亭湖心亭【四大名塔】嵩岳寺塔飞虹塔释迦塔千寻塔。,,,,,0,0,0,2021-05-09 06:59,皮皮时光机,['http://ww3.sinaimg.cn/large/841ffac1ly8gqbsts3pm3j20b00acaar.jpg'],,
4634647672393969,Kexlla2Mp,6594348144,门口槐树的猫,栖霞寺,,芜湖·安徽商贸职业技术学院,,,0,2,0,2021-05-08 18:26,iQOO Z1 5G性能先锋,"['http://ww4.sinaimg.cn/large/007chdbWly1gqb70f9o0yj335s23khdx.jpg', 'http://ww2.sinaimg.cn/large/007chdbWly1gqb70h4prkj335s23k4qs.jpg', 'http://ww4.sinaimg.cn/large/007chdbWly1gqb70e8k6zj32dc1ivnpf.jpg', 'http://ww2.sinaimg.cn/large/007chdbWly1gqb70kjb6pj31os16zkjl.jpg', 'http://ww3.sinaimg.cn/large/007chdbWly1gqb70j3zt6j335s23kx6t.jpg', 'http://ww3.sinaimg.cn/large/007chdbWly1gqb70i08uvj32rj1gxx6q.jpg', 'http://ww2.sinaimg.cn/large/007chdbWly1gqb70deiphj31960u0e5y.jpg', 'http://ww4.sinaimg.cn/large/007chdbWly1gqb70cvnecj31960u0hdt.jpg', 'http://ww4.sinaimg.cn/large/007chdbWly1gqb70d6pkrj31960u0ne9.jpg']",,
4634348038396653,Kepy3zelT,1609833161,南海龙女,栖山观自在，霞水乐长安。 （南京栖霞寺“观自在法宝流通处”檐前的一缕红叶，摄于2020.11.20）,,,,,0,0,0,2021-05-07 22:35,HUAWEI P30 Pro,['http://ww1.sinaimg.cn/large/5ff41ac9gy1gqa8mrkjx9j21el1x1e84.jpg'],,
4634233190485354,KemyP22gi,1609833161,南海龙女,若不是千年积淀，怎生这古刹清幽，山光明秀，更有鸣泉如漱玉；犹能邀四海宾朋，可等那秋枫红透，春色青浮，全无俗虑入栖霞。 （南京栖霞寺“明代石碑”亭之飞檐，摄于2020.11.20）,,,,,0,0,0,2021-05-07 14:59,HUAWEI P30 Pro,"['http://ww1.sinaimg.cn/large/5ff41ac9gy1gq9vfasy7gj21xs1aokjn.jpg', 'http://ww4.sinaimg.cn/large/5ff41ac9gy1gq9vfx0hrnj21z61vo1l2.jpg']",,
4634217751513632,Kem9V6lLq,1609833161,南海龙女,南京栖霞寺鼓楼 鼓楼与钟楼沿古寺主建筑中轴线完全对称，分建于月牙池两边，而建筑结构、尺寸、材料、色调、外形两楼保持一致，形成南有千禧钟，北有太平鼓之完臻格局，钟鼓之声更添古刹之庄严，实乃太平盛世之殊胜因缘也。大鼓腰直径二点五米，鼓面直径二点一米，厚一点八米，重约四百公斤。图2是鼓楼屋顶。（钟楼图片见本人昨日的发图） 白莲池钟鼓楼向前数步为白莲池，呈半月形，故名月牙池，供游人或佛门信徒放生之用，俗名放生池，沿池的汉白玉栏杆，雕刻水禽花卉。 （摄于2020.11.20）,,,,,0,0,0,2021-05-07 13:57,HUAWEI P30 Pro,"['http://ww3.sinaimg.cn/large/5ff41ac9gy1gq9tnz7142j21xs1aoqva.jpg', 'http://ww3.sinaimg.cn/large/5ff41ac9gy1gq9to31vadj21xr1a6qv8.jpg']",,
