id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4635451912096287,KeSgv8Nl5,1691041062,葡萄妞只是葡萄,希望这样的安利多一些，那些欺负动物的丧尽天良的人，你们会遭报应的分享：南京红山森林动物园的豹子们的生活环境，多图。O南京红山森林动物园的豹子们的生活环境，多图。,,,,,0,3,1,2021-05-10 23:42,豆瓣,['http://ww1.sinaimg.cn/large/64cb3d26ly1gqdrer7x31j20l0cn44qs.jpg'],,
4635434032827282,KeRNFbRvk,3080568261,Colorvin,终于见到了大熊猫📍红山森林动物园,,,,,0,0,0,2021-05-10 22:30,,"['http://ww4.sinaimg.cn/large/b79dbdc5ly1gqdonaz46qj21kw0w0e82.jpg', 'http://ww3.sinaimg.cn/large/b79dbdc5ly1gqdonezyr2j22c033ye82.jpg', 'http://ww1.sinaimg.cn/large/b79dbdc5ly1gqdonsfivcj21bp0qc7wi.jpg', 'http://ww3.sinaimg.cn/large/b79dbdc5ly1gqdonklkfgj20w01kwhdw.jpg', 'http://ww4.sinaimg.cn/large/b79dbdc5ly1gqdonqij22j22c03401kz.jpg', 'http://ww1.sinaimg.cn/large/b79dbdc5ly1gqdoobk06kj21b80so1kz.jpg', 'http://ww4.sinaimg.cn/large/b79dbdc5ly1gqdon2ag9gj218s0u4e82.jpg', 'http://ww3.sinaimg.cn/large/b79dbdc5ly1gqdonuwwb4j219w0tmhdu.jpg', 'http://ww1.sinaimg.cn/large/b79dbdc5ly1gqdonn3qsmj21kw0w0kcg.jpg']",,
4635416886249580,KeRm0qdNG,6402541931,安康环境,【国家保护动物夜鹭受伤难飞，民警伸出援手及时救助】这只受伤的鸟已被送往红山森林动物园，以便作进一步的救治。经动物园的工作人员鉴定，该鸟为国家三级保护动物夜鹭，他们将把夜鹭留在动物园做进一步检查、治疗、饲养，待其达到放飞条件时再进行放飞。O国家保护动物夜鹭受伤难飞，民警伸出援手及时救助（来源：扬子晚报网，发布：李珂，审核：胡茂林赵锋）,,,,,0,0,0,2021-05-10 21:22,Redmi K40 Pro+,,,
4635414759477699,KeRizDLA7,3098155827,皮皮包皮皮,#南京市红山森林动物园#母亲节…迟到了，发一下凑热闹,,,,南京市红山森林动物园,0,0,0,2021-05-10 21:14,微博 weibo.com,['http://ww3.sinaimg.cn/large/b8aa1b33gy1gqdn4dn3paj218z0u0qv6.jpg'],,
4635412230312982,KeRev1jq6,6106517699,___Cris___,#南京市红山森林动物园#美女图图绝世可爱美女干饭我按快门,,,,南京市红山森林动物园,0,2,2,2021-05-10 21:04,iPhone 12 Pro Max,"['http://ww1.sinaimg.cn/large/006FgkcXly1gqdmqu6d4nj32522vkx6p.jpg', 'http://ww4.sinaimg.cn/large/006FgkcXly1gqdmr1vmmej337k4tcnpi.jpg', 'http://ww2.sinaimg.cn/large/006FgkcXly1gqdmqqwionj337k4tckjq.jpg', 'http://ww4.sinaimg.cn/large/006FgkcXly1gqdmrh9uwaj34ja37ib2c.jpg', 'http://ww3.sinaimg.cn/large/006FgkcXly1gqdmrocvp1j337k4tckjq.jpg', 'http://ww3.sinaimg.cn/large/006FgkcXly1gqdmrsw0f3j32wv47he83.jpg', 'http://ww2.sinaimg.cn/large/006FgkcXly1gqdmrwerh7j33gl2pa1kz.jpg', 'http://ww2.sinaimg.cn/large/006FgkcXly1gqdms8u55dj337k4tcu12.jpg', 'http://ww4.sinaimg.cn/large/006FgkcXly1gqdmsdu4y1j33yb37kx6q.jpg']",,
4635403703293136,KeR0KdOH6,3098155827,皮皮包皮皮,#南京市红山森林动物园#和细尾獴抢食的小鸟（认不出）,,,,南京市红山森林动物园,0,3,0,2021-05-10 20:30,微博 weibo.com,['http://ww4.sinaimg.cn/large/b8aa1b33gy1gqdlvdayi2j218z0u01l1.jpg'],,
4635403602104019,KeR0A8PlN,2131828884,南京生态环境,【国家保护动物夜鹭受伤难飞，民警伸出援手及时救助】这只受伤的鸟已被送往红山森林动物园，以便作进一步的救治。经动物园的工作人员鉴定，该鸟为国家三级保护动物夜鹭，他们将把夜鹭留在动物园做进一步检查、治疗、饲养，待其达到放飞条件时再进行放飞。O国家保护动物夜鹭受伤难飞，民警伸出援手及时救助（来源：扬子晚报网，发布：李珂，审核：胡茂林赵锋）,,,,,3,2,10,2021-05-10 20:30,微博 weibo.com,,,
4635384464282525,KeQvIhY4Z,2012008087,南京红山动物园志愿者,5月9日在@南京市红山森林动物园成功举办了【2021快乐猩球志愿者俱乐部（上半年）总结大会】🎂🎉🎓🍃从2020年12月5日初次上岗到昨天，志愿者们共同经历了不平凡的半年，见证了红山从“宝藏动物园”变成了“网红宝藏动物园”。喜爱的动物与动物园被越来越多的人了解、关注，是一件非常开心且自豪的事～🍃同时这也意味着我们对自己的要求应该越来越高。在半年的时间里，志愿者团队中有很多优秀的小伙伴，他们不论是守护（讲解）志愿者、饲养小助手还是野生动物救护中心小助手…都在这半年里付出了相当的时间和精力在动物身上、在动物园里，他们的付出与努力值得我们去学习。不过志愿者还有很多地方做得不好，很多地方可以改善和提高，我们会继续加油！🍃总结大会上还有多位老师出席，表达了感谢并且赞扬了志愿者这半年来的工作，对志愿者未来寄予厚望。🍃每一次总结大会都像是一场“毕业典礼”，不管是“毕业”还是“深造”都祝我们【乘风破浪、未来可期】！#我在红山当志愿者#,,南京·红山动物园,南京市红山森林动物园,我在红山当志愿者,1,4,19,2021-05-10 19:14,小挖机iPhone 11,"['http://ww1.sinaimg.cn/large/77ecce97ly1gqdhv4s4xnj23402c0npg.jpg', 'http://ww4.sinaimg.cn/large/77ecce97ly1gqdef2kjcrj23402c0npd.jpg', 'http://ww2.sinaimg.cn/large/77ecce97ly1gqdehfdnjtj23402c0npd.jpg', 'http://ww3.sinaimg.cn/large/77ecce97ly1gqdhu2zj16j23402c0kjl.jpg', 'http://ww1.sinaimg.cn/large/77ecce97ly1gqdhwxp3oyj22yo280b2b.jpg', 'http://ww2.sinaimg.cn/large/77ecce97ly1gqdegmdfzhj23402c0kjl.jpg']",,
4635365568680413,KeQ1eAqaF,2407335774,-元子小姐-,我最近不能看那个豹子的新闻md能把我气死看看动物园的参差吧！红山森林和杭州野生动物园真的没法比,,,,,0,0,0,2021-05-10 17:58,iPhone X,,,
4635365032069276,KeQ0n8Gjq,1305559711,feel1ikeMonSter_飯,#南京市红山森林动物园#一个有温度的动物园，会和有爱的志愿者一起做个体识别，从拍照，设计，文字推敲，定稿，让每一个动物都有姓名。会陆续更新完善。（有些群居的动物是也会有他们的识别方式）感谢设计师@神不散人摄影@Sher-Holmes@NJ水虎鱼来自@画猫不成反类豹小分队,,,"神不散人,Sher-Holmes,NJ水虎鱼,画猫不成反类豹小分队",南京市红山森林动物园,16,8,32,2021-05-10 17:56,1oVeMayDayiPhone 12 Pro Max,"['http://ww2.sinaimg.cn/large/4dd1429fly1gqdhcbpe1mj22c0340u0x.jpg', 'http://ww1.sinaimg.cn/large/4dd1429fly1gqdhceb1ekj23402c01ky.jpg', 'http://ww4.sinaimg.cn/large/4dd1429fly1gqdhcgpaabj23402c01ky.jpg']",,
