id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4635448863362966,KeSbAe6Ro,6039098200,橘猫不是猫是橘,许个愿不论周六结果如何我想和你去一趟归元寺如果好那就祈祷一直保持越来越好如果不好那就祈祷一切能好,,,,,0,0,2,2021-05-10 23:29,iPhone 12,,,
4635425034993992,KeRz9kXag,1973182507,小鱼莎莎的理想,#记录生活#20210510今天跟小T聊天，说到我为啥要去归元寺她也深表同感不知道什么时候开始，我们越来越难感到快乐。包包很好看，也仍旧想要。但是要到了也只是一个包，要不到也没什么，想背包的日子已经不多了。饮料很好喝，甜品很好吃。反正都能消费得起，想吃就吃想喝就喝，也没有那么惊喜了。衣服很好看。想买就买吧。不买也行，反正不想打扮打扮，收拾收拾了。追求和目标还在。能实现当然会开心一下。但如果要付出太多努力太辛苦，也不想要争取了。反正对人生来说，也改变不了太多。我们不知不觉就陷入了似是而非的怪圈，不再有动力爬出来了。,,,,记录生活,0,3,0,2021-05-10 21:55,iPhone客户端,['http://ww1.sinaimg.cn/large/759c602bly1gqdoaikyfkj22802yoe82.jpg'],,
4635409109225210,KeR9sCHTI,1253211214,于小yu,武汉归元寺O武汉-归元禅寺由白光法师于清顺治15年(公元1658年)兴建寺内现存建筑为清同治三年(1864年)光绪二十一年(1895年)及民国初年陆续所建70年代曾修缮为数不多历经某革未遭到大规模破坏的寺院,,,,,0,0,1,2021-05-10 20:51,微博 weibo.com,"['http://ww4.sinaimg.cn/large/4ab27c4ely1gqdmaqdazvj20xc0m57ie.jpg', 'http://ww1.sinaimg.cn/large/4ab27c4ely1gqdmaqcw0hj20xc0m5k8n.jpg', 'http://ww4.sinaimg.cn/large/4ab27c4ely1gqdmaqnalgj20xc0m5as2.jpg', 'http://ww3.sinaimg.cn/large/4ab27c4ely1gqdmaqfofdj20m50xctt1.jpg', 'http://ww4.sinaimg.cn/large/4ab27c4ely1gqdmaqpea9j20xc0m54f5.jpg', 'http://ww1.sinaimg.cn/large/4ab27c4ely1gqdmaqkdrij20xc0m5wqu.jpg', 'http://ww4.sinaimg.cn/large/4ab27c4ely1gqdmaqfixwj20xc0m5wtx.jpg', 'http://ww1.sinaimg.cn/large/4ab27c4ely1gqdmaqkdzsj20m50xce5v.jpg', 'http://ww4.sinaimg.cn/large/4ab27c4ely1gqdmaqq4h7j20xc0m5nj1.jpg']",,
4635396770110217,KeQPz0sFH,6318020044,汉阳环卫集团第一公司,#武汉城管在行动#一公司针对归元寺周边工地出土污染，加大力度清洗@汉阳城管@武汉城管,,,"汉阳城管,武汉城管",武汉城管在行动,0,0,0,2021-05-10 20:02,iPhone客户端,"['http://ww1.sinaimg.cn/large/006TzLD6gy1gqdl0uujlvj31400u07e6.jpg', 'http://ww4.sinaimg.cn/large/006TzLD6gy1gqdl0uef0yj31400u0aih.jpg']",,
4635382102102481,KeQrU8OWZ,6290785753,有人见山川,>>归元寺前已无通路，后不见归途但也要更加振作啊,,,,,0,2,2,2021-05-10 19:04,iPad mini,"['http://ww1.sinaimg.cn/large/006RJuKlgy1gqdjab2q5pj30ku196qmk.jpg', 'http://ww1.sinaimg.cn/large/006RJuKlgy1gqdjaalzurj30ku196qh6.jpg', 'http://ww2.sinaimg.cn/large/006RJuKlgy1gqdjabiwz8j30zk1hcdu9.jpg', 'http://ww1.sinaimg.cn/large/006RJuKlgy1gqdjabyh4jj30ku196qix.jpg', 'http://ww1.sinaimg.cn/large/006RJuKlgy1gqdjacdpbyj30zk1hc4dq.jpg', 'http://ww2.sinaimg.cn/large/006RJuKlgy1gqdjacw6ngj30ku196qds.jpg', 'http://ww2.sinaimg.cn/large/006RJuKlgy1gqdjadidfzj30ku1qj7tp.jpg', 'http://ww3.sinaimg.cn/large/006RJuKlgy1gqdjae4m6lj30ku1964aa.jpg', 'http://ww3.sinaimg.cn/large/006RJuKlgy1gqdjaeul1zj30ku1qjndb.jpg']",,
4635325852814716,KeOZbbOeE,3927317829,小佳欣baby,武汉暴雨归元寺L小佳欣baby的微博视频,,,,,1,0,3,2021-05-10 15:21,武汉暴雨超话,,"http://f.video.weibocdn.com/Q7KalYyclx07My673XSU010412004mFs0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1620992371&ssig=3pM2VtvJ6t&KID=unistore,video",
4635236526984626,KeMF6tj1g,2136525155,张子枫王俊凯合作了吗,诊所小姐姐：你是不是前段时间才来了的我：是要去归元寺拜拜了,,武汉·后湖,,,0,1,0,2021-05-10 09:26,HUAWEI P30 Pro,,,
4635131275116931,KeJVllt99,3010676585,小光凌波,发表了博文《5.1自驾山西北3/1应县归元寺》归元寺位于山西省朔州市应县应，2018年初正在建修未完成，古建筑很是漂亮。+寺中盛开的丁香花。+归元寺，“归元”得名《楞严经》中“归元无二路，方便有多门”O5.1自驾山西北3/1应县归元寺,,,,,0,0,0,2021-05-10 02:27,新浪博客,,,
4635077764188061,KeIx2hzvn,3226584241,My_Sugar糖,归元寺#祈福许愿#🙏🙏🙏🙏🙏🙏,,武汉,,祈福许愿,0,1,0,2021-05-09 22:55,iPhone客户端,['http://ww3.sinaimg.cn/large/c051c4b1gy1gqckep9ukzj20tz1sxnpd.jpg'],,
4635074429978665,KeIrEFRUd,3669321801,可爱又Charming的反派角色,这世界上就没有我撸不来的阿猫阿狗视频开头的狗狗，我在门口站着，它从屋里跑出来闻我jiojio，我一把子把他撸爽了L可爱又Charming的反派角色的微博视频,,,,,0,0,0,2021-05-09 22:42,微博视频号,,"http://f.video.weibocdn.com/yIUljzZ8lx07MwZweqSQ01041200Cd9S0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1621045265&ssig=bM1WIjkv4c&KID=unistore,video",
4635049783723932,KeHNUfCLq,5847312319,Loocu_,今天去到归元寺数罗汉签文：欢乐人生第一宝，千金要卖常时笑。莫将忧烦隐心里，苦尽甘来有奔头。“未田底迦尊者偈解欢乐生活是人生至宝，所以要竭尽所能让自己快乐。”很奇妙的缘分跟我的生活态度十分一致,,,,,0,0,1,2021-05-09 21:04,iPhone客户端,,,
4635040635683459,KeHz9nQwH,2106463424,polly_cp,5月6日11点半抵达武汉，下午去了归元寺和晴川阁，晚上火车抵达武当山。5月7日游武当山，晚上火车返回武汉。5月8日省博物馆，东湖，武汉大学。5月9日黄鹤楼，辛亥革命武昌起义纪念馆，渡轮中华路至武汉关，古德寺，黎黄陂路，江汉关博物馆，江汉路步行街，最后一杯茶颜悦色结束行程,,武汉·武汉天河机场航站楼T3,,,0,1,4,2021-05-09 20:27,iPhone客户端,"['http://ww1.sinaimg.cn/large/7d8e14c0gy1gqcfw9n7qdj21400u0am9.jpg', 'http://ww2.sinaimg.cn/large/7d8e14c0gy1gqcfwadif9j21400u0nck.jpg', 'http://ww1.sinaimg.cn/large/7d8e14c0gy1gqcfwb9jaoj21400u0tlo.jpg', 'http://ww3.sinaimg.cn/large/7d8e14c0gy1gqcfwbvoqlj20u0140jyx.jpg', 'http://ww4.sinaimg.cn/large/7d8e14c0gy1gqcfwchum3j21400u0k5v.jpg', 'http://ww2.sinaimg.cn/large/7d8e14c0gy1gqcfwd7p7zj20u0140k0c.jpg', 'http://ww2.sinaimg.cn/large/7d8e14c0gy1gqcfweebluj21400u0ahr.jpg', 'http://ww3.sinaimg.cn/large/7d8e14c0gy1gqcfw8uokrj20u01407kg.jpg', 'http://ww3.sinaimg.cn/large/7d8e14c0gy1gqcfwf13x8j21400u015r.jpg']",,
4635038618223009,KeHvTyvbb,6828723646,1005海绵宝宝的314守护者,宸王的小财迷#肖战宸王#xz#肖战顾魏#天哪我要热死了，好热好热好热，去打卡了嘻嘻，投入爱的信箱，去了归元寺，结果出来有个人非拉着我要给我看手相算命啊这，最后祝全天下的妈妈节日快乐哦，今年给妈妈准备的礼物是什么呢@X玖少年团肖战DAYTOY,,,X玖少年团肖战DAYTOY,"肖战宸王,肖战顾魏",0,4,0,2021-05-09 20:19,宸王的小财迷超话,"['http://ww3.sinaimg.cn/large/007s8CXYgy1gqcfxmicvoj30u0140gqm.jpg', 'http://ww1.sinaimg.cn/large/007s8CXYgy1gqcfxnb0orj30u0140n1n.jpg', 'http://ww2.sinaimg.cn/large/007s8CXYgy1gqcfxo94pij30u0140q6t.jpg']",,
4634994133699294,KeGm9fwm2,2258784900,TsungChiao,我真的想天天去归元寺烧香,,,,,0,1,1,2021-05-09 17:22,iPhone 12 Pro,,,
4634993374270433,KeGkVhUVX,5603625509,老薛是我前男友,本来去归元寺是要去拜文殊菩萨的，结果文殊菩萨没拜着倒是拜上了五路财神哈哈哈哈哈哈哈哈🙏🙏,,,,,0,2,0,2021-05-09 17:19,iPhone客户端,,,
