id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4635084425268182,KeIHMm6uG,5995315271,脸脸今天吃饭了吗,五一假期·《武汉》第二天凌晨坐车去的武汉，清晨去了武汉赶早，上午去了博物馆和美术馆，由于晚上没睡好，上午坐公交坐过了好几次，中午去了住的地方，睡了一觉，定的4:30的闹钟，3:00多突然醒了，想起第二天是周一，晴川阁闭馆，然后赶紧爬起来赶路，好在住的地方交通很方便，竟然在最后十秒钟赶到了，检票的小姐姐直接让我从人工通道跑进去了。出来后骑车去了汉口江滩，因为第二天没有好天气，所以赶在同一天想去汉口江滩看日落。到了之后发现居然日落在身后方。不过傍晚坐在江边真的很惬意了。晚上想坐轮渡，结果没有找到上船的入口。然后想去逛街，结果被人群挤着去看了黄鹤楼和长江大桥。好累！晚上手机没电差点回不来了！第二天睡了我这段日子以来最长的一次觉。想去武汉大学看看，结果走错了路，误打误撞进了一条小街，然后吃到了我迄今为止吃到过的最好吃的热干面和面条。下午去江汉路逛街啦，不过下了大雨，坐在楼上看雨，等雨小了一些，去了平和打包厂。我一个人走到了最高处，从墙缝里上到了天台。下着雨，亮着灯，虽然真的很吓人，但是真好看！我把手机支在墙上，拍了一张完全看不到人的照片。晚上和好朋友吃火锅啦，第三天因为中午要赶车，所以只去了古德寺，真小，只有一点点大，不过建的很漂亮。一下就逛完了，然后我离开了武汉。虽然在武汉呆的时间最长，但是觉得遗憾最多。可能很多有趣的经历已经记不得了，也有太多太多的风景没有去经历，太多太多的好吃的没有吃到。我以后还会再去的。,,,,,0,0,1,2021-05-09 23:21,联想Z5 · 新国民旗舰,"['http://ww1.sinaimg.cn/large/006xJJnpgy1gqcl6bknuij30xc690hdu.jpg', 'http://ww2.sinaimg.cn/large/006xJJnpgy1gqcl6g8kthj30xc7pk7wj.jpg', 'http://ww2.sinaimg.cn/large/006xJJnpgy1gqcl6hxmpxj30xc6901ky.jpg', 'http://ww2.sinaimg.cn/large/006xJJnpgy1gqcl6ijrmmj31400u0tco.jpg', 'http://ww1.sinaimg.cn/large/006xJJnpgy1gqcl6jnn7hj32dc1px4qp.jpg', 'http://ww3.sinaimg.cn/large/006xJJnpgy1gqcl6lupb5j33k02o0b2b.jpg', 'http://ww3.sinaimg.cn/large/006xJJnpgy1gqcl6our6vj33k02o01kz.jpg', 'http://ww2.sinaimg.cn/large/006xJJnpgy1gqcl6q6lwxj3334222npd.jpg', 'http://ww2.sinaimg.cn/large/006xJJnpgy1gqcl6quoa5j333422215f.jpg']",,
4635072768249112,KeIoYyBYc,2670295373,一只小元_,📍晴川阁晴川历历汉阳树，芳草萋萋鹦鹉洲。与黄鹤楼隔江相望的晴川阁，充满了古典建筑之美，上楼可以看到龟山电视塔，俯瞰江边，令人心旷神怡，怡然自得。,,武汉·晴川阁,,,0,4,0,2021-05-09 22:35,iPhone客户端,"['http://ww2.sinaimg.cn/large/9f29794dly1gqcjorklwyj23402c0kjv.jpg', 'http://ww4.sinaimg.cn/large/9f29794dly1gqcjoxuyb5j228r2zo1lg.jpg', 'http://ww3.sinaimg.cn/large/9f29794dly1gqcjp13mzoj22un24z7wt.jpg', 'http://ww3.sinaimg.cn/large/9f29794dly1gqcjom7dxkj22av32iqvl.jpg', 'http://ww1.sinaimg.cn/large/9f29794dly1gqcjp8adljj23402c0hdw.jpg', 'http://ww4.sinaimg.cn/large/9f29794dly1gqcjp50oraj21xf2kk7wr.jpg']",,
4635007794024025,KeGIbgSPD,6088436304,焦急的小麻花,武汉行程：5.2黄鹤楼，武大，老友诚5.3归元禅寺，大禹神话园，晴川阁，万松园美食街5.4江汉博物馆，国民政府旧址，汉阳造，武汉江滩,,,,,0,0,0,2021-05-09 18:17,vivo X60 蔡司影像,,,
4634985862008560,KeG8O8qw8,6146020758,梦醉南山,走进武汉晴川阁，我想到了一部电视剧《宫》。     via:Lexie,,,,,0,1,0,2021-05-09 16:50,即刻笔记,"['http://ww1.sinaimg.cn/large/001W78q1ly1gplbgdxnt2j61jk0rsqh902.jpg', 'http://ww3.sinaimg.cn/large/001W78q1ly1gplbgemk1wj61jk1111cv02.jpg', 'http://ww4.sinaimg.cn/large/001W78q1ly1gplbgf8ly5j61jk0rsk9102.jpg', 'http://ww1.sinaimg.cn/large/001W78q1ly1gplbggj5kmj61jk2bc7wi02.jpg', 'http://ww4.sinaimg.cn/large/001W78q1ly1gplbgi4j7gj61jk2bckjm02.jpg', 'http://ww3.sinaimg.cn/large/001W78q1ly1gplbgjmp5kj61jk2bchdu02.jpg', 'http://ww3.sinaimg.cn/large/001W78q1ly1gplbgkxtq0j61jk2qrx6p02.jpg', 'http://ww2.sinaimg.cn/large/001W78q1ly1gplbgmrnwkj61jk2qre8302.jpg', 'http://ww1.sinaimg.cn/large/001W78q1ly1gplbgo4h0aj61jk2qru0x02.jpg']",,
4634980182921069,KeFZEcfU1,5159968952,liueryeah,武汉&宜昌之旅晴川阁—坐轮渡—粮道街—黄鹤楼—长江大桥—神农架林区2日游—三峡大瀑布—楚河汉街—东湖—万松园,,武汉,,,0,4,3,2021-05-09 16:27,Android,"['http://ww2.sinaimg.cn/large/005DcHDGly1gqc97apo2bj31405u9qva.jpg', 'http://ww2.sinaimg.cn/large/005DcHDGly1gqc97m56k7j314085p1l5.jpg', 'http://ww3.sinaimg.cn/large/005DcHDGly1gqc97stwauj31407z14qy.jpg', 'http://ww1.sinaimg.cn/large/005DcHDGly1gqc98129kbj3140a3te8c.jpg', 'http://ww3.sinaimg.cn/large/005DcHDGly1gqc98a5gkkj3140ar6qvh.jpg', 'http://ww3.sinaimg.cn/large/005DcHDGly1gqc98du8ihj31405oekjp.jpg']",,
4634960914287368,KeFuzhZl6,6506394401,52的奈雪,#让日常阅读成为砍向我们内心冰封大海的斧头#园冶-卷一·屋宇·阁阁，外形与楼相似。但楼一般“重屋”，呈长条形。而阁四敞，也可在四面挑出平座，且屋顶造型灵活些，可为六角/八角。观景阁-滕王阁晴川阁藏书-天一阁供佛-普宁寺大乘阁,,,,让日常阅读成为砍向我们内心冰封大海的斧头,0,0,0,2021-05-09 15:10,Redmi K20 Pro 真旗舰,,,
4634887669679556,KeDAqEC5S,5348188209,最爱Converse帆布鞋,武汉晴川历历汉阳树，芳草萋萋鹦鹉洲，作为和黄鹤楼隔江相望的晴川阁，也是充满了古典建筑之美，在晴川阁上遥望武汉长江之景，令人心旷神怡，怡然自得。,,,,,0,0,2,2021-05-09 10:19,武汉超话,"['http://ww2.sinaimg.cn/large/005PWs49ly1gqbyjp3mbqj33402c0kjm.jpg', 'http://ww3.sinaimg.cn/large/005PWs49ly1gqbyjrhfo3j33402c0e81.jpg', 'http://ww1.sinaimg.cn/large/005PWs49ly1gqbyju9qfdj32c0340u0z.jpg', 'http://ww4.sinaimg.cn/large/005PWs49ly1gqbyjvg1u8j33402c0x6p.jpg', 'http://ww4.sinaimg.cn/large/005PWs49ly1gqbyjxq70zj33402c0b2a.jpg', 'http://ww1.sinaimg.cn/large/005PWs49ly1gqbyjzzwgmj33402c0e82.jpg', 'http://ww3.sinaimg.cn/large/005PWs49ly1gqbyk2gb6yj33402c0x6r.jpg', 'http://ww3.sinaimg.cn/large/005PWs49ly1gqbyk5o2gvj33402c04qs.jpg', 'http://ww3.sinaimg.cn/large/005PWs49ly1gqbyk8e9igj33402c0hdt.jpg']",,
4634718408016019,KezbqxDkD,3844378283,风泊修CR7,从晴川阁到黄鹤楼，从省博到两江口岸夜景，从江汉路到黎黄陂路，步行街小吃到户部巷美味，充实的一天贯穿两江三地。武汉交通方便，市民热情，荆楚文化深远，从古至今都是华中重城，期待第一次的遇见是以后多次邂逅的开始。,,武汉·黄鹤楼,,,1,7,2,2021-05-08 23:07,iPhone客户端,"['http://ww4.sinaimg.cn/large/e5248eabgy1gqbf0uwewgj20u00mib29.jpg', 'http://ww4.sinaimg.cn/large/e5248eabgy1gqbf0sp5imj22wv2aakjn.jpg', 'http://ww4.sinaimg.cn/large/e5248eabgy1gqbezz2l3wj22zq22lkjn.jpg', 'http://ww1.sinaimg.cn/large/e5248eabgy1gqbf0nf6opj22hd2nje81.jpg', 'http://ww1.sinaimg.cn/large/e5248eabgy1gqbf0ky94nj222o33znpf.jpg', 'http://ww2.sinaimg.cn/large/e5248eabgy1gqbf0btkcxj22c031l1ky.jpg', 'http://ww2.sinaimg.cn/large/e5248eabgy1gqbf0ftoxkj22c0340u0y.jpg', 'http://ww4.sinaimg.cn/large/e5248eabgy1gqbf08fiunj223s2sn1l1.jpg', 'http://ww3.sinaimg.cn/large/e5248eabgy1gqbf01g09vj21400u0kjl.jpg']",,
4634675756664574,Key4DrXL8,5409062062,苦力晴,搜刮了近一年的相册！都是我超超超喜欢的照片晴川阁的樱花，九孔桥的石狮子，东湖绿道和单洞花市，江汉路的猫咖以及轮渡上的落日与花……毕业有好多要整理和道别的东西啊,,,,,0,14,7,2021-05-08 20:17,微博国际版,"['http://ww3.sinaimg.cn/large/005U3S8uly1gqba8vjrs1j32bc334qv6.jpg', 'http://ww4.sinaimg.cn/large/005U3S8uly1gqba90kgg5j3340340b2d.jpg', 'http://ww4.sinaimg.cn/large/005U3S8uly1gqba960hi7j33342bcnph.jpg', 'http://ww4.sinaimg.cn/large/005U3S8uly1gqba9as8ajj32og3cl4qu.jpg', 'http://ww3.sinaimg.cn/large/005U3S8uly1gqba9bl7dmj30sr12tao3.jpg', 'http://ww4.sinaimg.cn/large/005U3S8uly1gqba9gwdowj32bc334x6r.jpg', 'http://ww2.sinaimg.cn/large/005U3S8uly1gqba9ikdmnj30u013y7hx.jpg', 'http://ww3.sinaimg.cn/large/005U3S8uly1gqba9l3m7rj32o03k0kjn.jpg', 'http://ww3.sinaimg.cn/large/005U3S8uly1gqba9nglu1j32og3kgkjn.jpg']",,
4634671503118929,KexXMd5nj,5694073894,清清烟色,第一站，归元寺——湖北博物馆（镇馆之宝越王勾践剑和曾侯乙编钟）——辛亥革命博物馆。第二站，解放公园。第三站，黄石天空之境——仙岛湖。第四站，晴川阁。最后一站，循礼门的花花——还有茶颜悦色很好喝,,武汉,,,0,0,1,2021-05-08 20:00,nova7你在焦点在,"['http://ww3.sinaimg.cn/large/006dlKJwgy1gqb9mg7nxxj30u049uhdt.jpg', 'http://ww3.sinaimg.cn/large/006dlKJwgy1gqb9mh3w4qj30u05rnkjm.jpg', 'http://ww4.sinaimg.cn/large/006dlKJwgy1gqb9mi7uqlj30u05c51ky.jpg', 'http://ww2.sinaimg.cn/large/006dlKJwgy1gqb9mj948pj30u04vwhdu.jpg', 'http://ww4.sinaimg.cn/large/006dlKJwgy1gqb9mjy6gdj30u039i4i3.jpg']",,
